                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9342,                 2.8073,                 1.1792,                0.20229,                0.30199,                0.18838,                0.14987,                0.75948,                 2.4812,                 1.1175,               0.003268,               0.003268,               0.003268
                     37,                0.92268,                 2.7988,                 1.1688,                 0.2031,                0.30308,                 0.1902,                0.15065,                0.75374,                 2.4777,                 1.1113,                0.00307,                0.00307,                0.00307
                     38,                0.92662,                 2.7901,                 1.1701,                0.19296,                0.31785,                0.19225,                0.15317,                0.75267,                  2.465,                 1.1098,               0.002872,               0.002872,               0.002872
                     39,                0.92093,                 2.7711,                 1.1674,                0.19789,                 0.3198,                0.19718,                0.15682,                0.75674,                 2.4541,                 1.1095,               0.002674,               0.002674,               0.002674
                     40,                0.91029,                 2.7564,                 1.1623,                0.21188,                0.32018,                0.19813,                0.15764,                0.75468,                 2.4466,                 1.1056,               0.002476,               0.002476,               0.002476
                     41,                0.75561,                 2.4242,                 1.0999,                0.21453,                0.32633,                0.20448,                0.16339,                0.74388,                  2.413,                 1.0995,               0.002278,               0.002278,               0.002278
                     42,                0.73692,                 2.3725,                 1.0917,                0.22333,                0.31912,                0.20553,                0.16535,                0.73955,                 2.4152,                 1.0984,                0.00208,                0.00208,                0.00208
                     43,                0.73315,                  2.328,                 1.0823,                0.21655,                0.32605,                0.20925,                0.16898,                0.73778,                 2.4169,                 1.0949,               0.001882,               0.001882,               0.001882
                     44,                0.72864,                 2.3003,                 1.0834,                0.21839,                0.32303,                0.20898,                0.16899,                0.73494,                 2.4048,                 1.0925,               0.001684,               0.001684,               0.001684
                     45,                0.71919,                 2.2657,                 1.0776,                0.22248,                0.33425,                0.21143,                0.17118,                0.73058,                 2.3946,                 1.0886,               0.001486,               0.001486,               0.001486
                     46,                0.70511,                  2.249,                 1.0692,                0.22078,                0.32523,                 0.2122,                0.17189,                0.72896,                 2.3874,                 1.0863,               0.001288,               0.001288,               0.001288
                     47,                0.70196,                 2.2076,                 1.0628,                0.22274,                0.33503,                0.21455,                0.17317,                0.72831,                 2.3834,                 1.0849,                0.00109,                0.00109,                0.00109
                     48,                0.69222,                 2.1805,                 1.0593,                0.21935,                0.34363,                0.21515,                0.17442,                0.72659,                 2.3757,                 1.0835,               0.000892,               0.000892,               0.000892
                     49,                0.68911,                 2.1587,                 1.0572,                 0.2203,                0.34815,                0.21504,                  0.174,                0.72622,                 2.3699,                 1.0834,               0.000694,               0.000694,               0.000694
                     50,                0.68039,                 2.1285,                 1.0504,                0.22291,                0.34389,                0.21728,                0.17613,                0.72601,                 2.3669,                 1.0824,               0.000496,               0.000496,               0.000496
