                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.12716,                  0.735,                0.93458,                 4.0898,               0.003664,               0.003664,               0.003664
                     67,                0.12371,                0.73375,                0.93208,                 4.0915,               0.003565,               0.003565,               0.003565
                     68,                0.11749,                0.73583,                0.93125,                 4.0907,               0.003466,               0.003466,               0.003466
                     69,                 0.1044,                0.73375,                0.93292,                 4.0919,               0.003367,               0.003367,               0.003367
                     70,                 0.1135,                0.73792,                0.93542,                  4.092,               0.003268,               0.003268,               0.003268
                     71,                0.11372,                0.73542,                0.93167,                  4.093,               0.003169,               0.003169,               0.003169
                     72,                0.10612,                0.73208,                0.93667,                 4.0934,                0.00307,                0.00307,                0.00307
                     73,                0.09481,                0.73167,                0.93542,                 4.0943,               0.002971,               0.002971,               0.002971
                     74,                0.09698,                0.73542,                0.93833,                 4.0936,               0.002872,               0.002872,               0.002872
                     75,                0.10899,                0.73417,                0.93625,                 4.0922,               0.002773,               0.002773,               0.002773
                     76,                0.09966,                0.73792,                0.93833,                 4.0903,               0.002674,               0.002674,               0.002674
                     77,                0.10164,                0.74167,                   0.94,                 4.0892,               0.002575,               0.002575,               0.002575
                     78,                0.08646,                 0.7425,                0.94292,                  4.089,               0.002476,               0.002476,               0.002476
                     79,                0.08746,                0.73875,                0.94208,                 4.0888,               0.002377,               0.002377,               0.002377
                     80,                0.09133,                0.73917,                0.94083,                  4.089,               0.002278,               0.002278,               0.002278
                     81,                0.08193,                0.73833,                0.94042,                 4.0892,               0.002179,               0.002179,               0.002179
                     82,                0.08586,                0.74042,                0.94083,                 4.0896,                0.00208,                0.00208,                0.00208
                     83,                0.08631,                0.73792,                0.94167,                 4.0891,               0.001981,               0.001981,               0.001981
                     84,                0.08145,                0.73958,                   0.94,                 4.0888,               0.001882,               0.001882,               0.001882
                     85,                0.07598,                0.73917,                   0.94,                 4.0895,               0.001783,               0.001783,               0.001783
                     86,                0.07909,                0.73708,                0.93917,                 4.0899,               0.001684,               0.001684,               0.001684
                     87,                0.07309,                0.73708,                0.93875,                 4.0899,               0.001585,               0.001585,               0.001585
                     88,                0.06897,                 0.7375,                0.93833,                 4.0898,               0.001486,               0.001486,               0.001486
                     89,                0.07297,                  0.735,                 0.9375,                 4.0904,               0.001387,               0.001387,               0.001387
                     90,                0.07242,                0.73417,                0.93917,                 4.0912,               0.001288,               0.001288,               0.001288
                     91,                0.06288,                  0.735,                   0.94,                 4.0907,               0.001189,               0.001189,               0.001189
                     92,                0.06791,                  0.735,                0.93958,                 4.0911,                0.00109,                0.00109,                0.00109
                     93,                0.06836,                0.73583,                0.93875,                 4.0914,               0.000991,               0.000991,               0.000991
                     94,                0.05732,                 0.7375,                0.93833,                 4.0918,               0.000892,               0.000892,               0.000892
                     95,                0.06095,                0.73875,                0.93667,                 4.0916,               0.000793,               0.000793,               0.000793
                     96,                0.05098,                0.73833,                 0.9375,                 4.0919,               0.000694,               0.000694,               0.000694
                     97,                0.05994,                0.73583,                0.93792,                 4.0927,               0.000595,               0.000595,               0.000595
                     98,                0.05806,                0.73583,                0.93875,                 4.0928,               0.000496,               0.000496,               0.000496
                     99,                0.05656,                0.73625,                0.93833,                  4.093,               0.000397,               0.000397,               0.000397
                    100,                0.05335,                0.73667,                0.93792,                 4.0932,               0.000298,               0.000298,               0.000298
